员工指纹编号,员工姓名,应出勤天数,实际出勤天数,漏打卡次数,迟到次数,早退次数,旷工天数,事假天数,病假天数,年休假天数,调休假天数,婚假天数,产假天数,看护假天数,丧假天数,路程假天数,工伤假天数,出差时长,加班次数,加班累计时间(小时),加班累计天数,备注
63902,王力,21.75,21.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63906,王力,21.75,21.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63911,王力,21.75,21.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63909,王力,21.75,21.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63905,王力,21.75,21.75,,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,
63904,王力,21.75,21.75,,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,
63903,王力,21.75,21.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63908,王力,21.75,21.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63901,王力,21.75,21.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63919,王力,20,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63920,王力,21.75,21.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63921,王力,21.75,21.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63922,王力,21.75,21.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63923,王力,7,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63925,王力,7,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63924,王力,8,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,此cell不能为空
