部门,姓名,登记号码,日期时间,机器号,编号,比对方式,卡号
人力资源部,王力,400001,2014/8/9 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/10 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/11 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/12 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/13 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/14 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/15 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/16 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/17 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/18 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/19 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/20 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/21 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/22 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/23 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/24 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/25 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/26 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/27 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/28 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/29 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/30 8:35,2,,指纹,
